Studio,Date,Live Classes,Virtual Classes,Total Classes
ATDF,12/15/2024,0,0,0
Ballet Arts,12/15/2024,13,0,13
Ballet Academy East,12/15/2024,9,4,13
Ailey Studios,12/15/2024,9,4,13
Broadway Dance Center,12/15/2024,32,3,35
Brickhouse,12/15/2024,5,0,5
Cumbe Dance Center,12/15/2024,2,1,3
Gibney,12/15/2024,4,0,4
Mark Morris Dance,12/15/2024,0,0,0
Peridance,12/15/2024,6,0,6
PMT House of Dance,12/15/2024,7,0,7
ILoveDance,12/15/2024,1,0,1
Sass Class,12/15/2024,8,0,8
Taylor School,12/15/2024,0,0,0
Steps on Broadway,12/15/2024,24,24,48
Hive NJ,12/15/2024,3,0,3
Femmily,12/15/2024,0,0,0
